date,news,what_it_affects,source,raw_text
2015-01-05,Oil extends crash into new year as glut fear deepens,Oil & Gas / Energy Sector,https://www.dawn.com/news/1155086/oil-extends-crash-into-new-year-as-glut-fear-deepens,"Business Oil extends crash into new year as glut fear deepens US crude crashed below $50 a barrel as the selloff in global oil markets showed little signs of slowing in the new year. Published 05 Jan, 2015 11:43pm"
2015-01-06,"Low revenue, IMF dictations stifle development spending",IMF / External Financing,https://www.dawn.com/news/1155223/low-revenue-imf-dictations-stifle-development-spending,"Business Low revenue, IMF dictations stifle development spending The government is struggling to meet its development programme commitments as it faces funding constraints. Updated 06 Jan, 2015 08:37am"
2015-01-06,Pakistan 4th biggest user of Bt cotton seeds,Textile Sector,https://www.dawn.com/news/1155219/pakistan-4th-biggest-user-of-bt-cotton-seeds,"Business Pakistan 4th biggest user of Bt cotton seeds Federal Textile Minister says that Bt cotton is being cultivated on 83 per cent of the total sowing area under the crop. Updated 06 Jan, 2015 08:53am"
2015-01-06,Rupee stable against dollar,Currency / Exchange Rate,https://www.dawn.com/news/1155264/rupee-stable-against-dollar,"Business Rupee stable against dollar The rupee remained almost flat against the dollar in both the interbank and open markets last week on a net basis Published 06 Jan, 2015 07:25am"
2015-01-06,SBP mechanism for sugar export,Monetary Policy / Interest Rates; Current Account / Trade,https://www.dawn.com/news/1155222/sbp-mechanism-for-sugar-export,"Business SBP mechanism for sugar export Mills to produce certificates that they have cleared payments of growers, if they want to get its approval to export. Updated 06 Jan, 2015 08:40am"
2015-01-06,Stocks add 26 points on institutional support,Stock Market (Direct),https://www.dawn.com/news/1155217/stocks-add-26-points-on-institutional-support,"Business Stocks add 26 points on institutional support Range-bound activity was witnessed at the stock market where KSE-100 index closed with a minor gain at 32,757.79. Updated 06 Jan, 2015 08:52am"
2015-01-07,5 items identified for export to Russia,Current Account / Trade,https://www.dawn.com/news/1155375/5-items-identified-for-export-to-russia,"Business 5 items identified for export to Russia Minis­try of Commerce has evolved a strategy for a share in the agriculture and food market of the Russian federation. Updated 07 Jan, 2015 09:20am"
2015-01-07,Nepra approves reduction in K-Electric tariff,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1155441/nepra-approves-reduction-in-k-electric-tariff,"Pakistan Nepra approves reduction in K-Electric tariff Nepra reduced the K-Electric tariff by Rs1.64 per unit under monthly fuel adjustment for November. Updated 07 Jan, 2015 08:30am"
2015-01-08,"Pakistani stocks breach 33,000 mark",Stock Market (Direct); Oil & Gas / Energy Sector,https://www.dawn.com/news/1155709/pakistani-stocks-breach-33000-mark,"Business Pakistani stocks breach 33,000 mark Recovery in global oil prices helped the benchmark KSE-100 index cross the 33,000 milestone for the first time ever. Published 08 Jan, 2015 07:50pm"
2015-01-09,"Pakistan, China to soften bank opening rules",Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1155810/pakistan-china-to-soften-bank-opening-rules,"Pakistan Pakistan, China to soften bank opening rules Pakistan and China agreed to re-negotiate tariff reduction on tradable goods under the free trade agreement (FTA). Updated 09 Jan, 2015 09:24am"
2015-01-09,Pakistani-backed fertiliser plant in Indiana not seeking state incentives,Fertilizer Sector,https://www.dawn.com/news/1155894/pakistani-backed-fertiliser-plant-in-indiana-not-seeking-state-incentives,"Pakistan Pakistani-backed fertiliser plant in Indiana not seeking state incentives Pakistani-backed company planning to build a $2.6 billion fertiliser plant. Published 09 Jan, 2015 12:25pm"
2015-01-10,"Consumers paying Rs3-4 extra on petrol, diesel",Fiscal Policy / Budget / Taxes; Oil & Gas / Energy Sector,https://www.dawn.com/news/1156053/consumers-paying-rs3-4-extra-on-petrol-diesel,"Business Consumers paying Rs3-4 extra on petrol, diesel Recent imposition of 5 per cent additional sales tax on petroleum products putting an extra burden on consumers. Updated 10 Jan, 2015 10:10am"
2015-01-11,Pakistan and the IMF: The ties that bind,IMF / External Financing,https://www.dawn.com/news/1155958/pakistan-and-the-imf-the-ties-that-bind,"Pakistan Pakistan and the IMF: The ties that bind We love to hate the IMF, but how much do we know about its genesis, its global operation and its history with Pakistan? Published 11 Jan, 2015 12:27pm"
2015-01-11,Sindh prepares to export wheat amid price worries,Current Account / Trade,https://www.dawn.com/news/1156266/sindh-prepares-to-export-wheat-amid-price-worries,"Business Sindh prepares to export wheat amid price worries Sindh has procured 1.3 million tonnes of wheat from the growers. Updated 11 Jan, 2015 11:27am"
2015-01-12,An export economy that fails to import jobs,Current Account / Trade,https://www.dawn.com/news/1156336/an-export-economy-that-fails-to-import-jobs,"Business An export economy that fails to import jobs This month, brace yourself to hear plenty of rhetoric coming out of Washington about ‘exports’ and ‘jobs’. Updated 15 Jan, 2015 09:36am"
2015-01-12,Burj-NBP deal on the cards?,Banking Sector,https://www.dawn.com/news/1156356/burj-nbp-deal-on-the-cards,"Business Burj-NBP deal on the cards? This transaction looks like a winner for both parties, [given] NBP’s financial strength and Burj’s brand equity. Updated 12 Jan, 2015 07:45am"
2015-01-12,Farmers oppose duty-free imports from India,Fiscal Policy / Budget / Taxes; Current Account / Trade,https://www.dawn.com/news/1156350/farmers-oppose-duty-free-imports-from-india,"Business Farmers oppose duty-free imports from India Farmers say with 137 items allowed duty-free through Wagha border, what else is left to grant to India? Updated 12 Jan, 2015 07:47am"
2015-01-12,Rupee mixed against dollar,Currency / Exchange Rate,https://www.dawn.com/news/1156359/rupee-mixed-against-dollar,"Business Rupee mixed against dollar The rupee remained largely under pressure against the dollar in the open market last week. Updated 13 Jan, 2015 12:26am"
2015-01-12,Sindh fails to sell wheat stock and set sowing targets,Current Account / Trade,https://www.dawn.com/news/1156349/sindh-fails-to-sell-wheat-stock-and-set-sowing-targets,"Business Sindh fails to sell wheat stock and set sowing targets Sindh govt asked federal govt to bear cost of rebate on export of 660,000 tonnes of surplus wheat stocked in facilities. Updated 12 Jan, 2015 07:49am"
2015-01-13,Bull run continues on KSE,Stock Market (Direct),https://www.dawn.com/news/1156623/bull-run-continues-on-kse,"Business Bull run continues on KSE The KSE-100 index intraday crossed over the 33,500 points on Monday. Updated 13 Jan, 2015 08:43am"
2015-01-13,Oil prices plunge to near six-year low,Oil & Gas / Energy Sector,https://www.dawn.com/news/1156771/oil-prices-plunge-to-near-six-year-low,"Business Oil prices plunge to near six-year low Brent crude was down $1.48 at $45.95 a barrel, after dipping to $45.19, its lowest since March 2009. Published 13 Jan, 2015 09:25pm"
2015-01-14,"Fuel, power shortage looms as oil stocks plummet",Oil & Gas / Energy Sector,https://www.dawn.com/news/1156877/fuel-power-shortage-looms-as-oil-stocks-plummet,"Business Fuel, power shortage looms as oil stocks plummet Filling stations and power plants have started drying up as petrol and furnace oil stocks plummeted to dangerous level. Updated 14 Jan, 2015 10:55am"
2015-01-14,S. Arabia will suffer from oil slide: Iran,Oil & Gas / Energy Sector,https://www.dawn.com/news/1156866/s-arabia-will-suffer-from-oil-slide-iran,"World S. Arabia will suffer from oil slide: Iran President Hassan Rouhani says Iran would withstand economic pain of plummeting oil prices. Updated 14 Jan, 2015 10:58am"
2015-01-15,80pc of Lahore's petrol stations closed due to cut in supply,Oil & Gas / Energy Sector,https://www.dawn.com/news/1157181/80pc-of-lahores-petrol-stations-closed-due-to-cut-in-supply,"Pakistan 80pc of Lahore's petrol stations closed due to cut in supply Lahore's daily petrol consumption is 2.5 million litres while the current supply stood at 400,000 litres. Updated 15 Jan, 2015 04:27pm"
2015-01-15,Rs3 per unit cut in power tariff likely,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1157064/rs3-per-unit-cut-in-power-tariff-likely,"Pakistan Rs3 per unit cut in power tariff likely The relief will be available in the billing month of February after approval by the NEPRA. Published 15 Jan, 2015 06:56am"
2015-01-15,"SBP tracking cases of money laundering, committee told",Monetary Policy / Interest Rates,https://www.dawn.com/news/1157103/sbp-tracking-cases-of-money-laundering-committee-told,"Pakistan SBP tracking cases of money laundering, committee told some 270 suspects had so far been arrested on money laundering charges and investigations were underway against them. Published 15 Jan, 2015 06:55am"
2015-01-16,FBR recovers Rs19m in missing containers case,Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1157312/fbr-recovers-rs19m-in-missing-containers-case,"Business FBR recovers Rs19m in missing containers case Recovery was made in 50 missing containers case, which were removed from port premises during May 2012 to July 2013. Updated 16 Jan, 2015 09:40am"
2015-01-16,Foreign investment triples to $1.6bn on debt securities,Foreign Investment / FPI,https://www.dawn.com/news/1157314/foreign-investment-triples-to-16bn-on-debt-securities,"Business Foreign investment triples to $1.6bn on debt securities Overall foreign investment, including debt securities, increased by 217% in July-Dec period of 2014-15. Updated 16 Jan, 2015 10:25am"
2015-01-16,India makes surprise interest rate cut to 7.75pc,Monetary Policy / Interest Rates; Banking Sector,https://www.dawn.com/news/1157303/india-makes-surprise-interest-rate-cut-to-775pc,"Business India makes surprise interest rate cut to 7.75pc India’s central bank cut interest rates by 25 basis points and signalled more could come. Updated 16 Jan, 2015 09:34am"
2015-01-17,21-point gain tosses index to fresh peak,Stock Market (Direct),https://www.dawn.com/news/1157511/21-point-gain-tosses-index-to-fresh-peak,"Business 21-point gain tosses index to fresh peak Stocks closed on Friday on a positive note at an all-time high of 33,786.44 points. Updated 17 Jan, 2015 10:15am"
2015-01-17,"4,641 companies not filing tax returns",Fiscal Policy / Budget / Taxes,https://www.dawn.com/news/1157514/4641-companies-not-filing-tax-returns,"Business 4,641 companies not filing tax returns FBR and SECP's joint efforts to determine tax-evaders have revealed that 4,641 active companies were not filing. Updated 17 Jan, 2015 10:13am"
2015-01-17,C/A deficit widens to $2.3bn,Current Account / Trade; Oil & Gas / Energy Sector,https://www.dawn.com/news/1157515/ca-deficit-widens-to-23bn,"Business C/A deficit widens to $2.3bn Despite foreign inflows from several sources and falling oil prices, the current account deficit has widened to $2.3bn. Updated 17 Jan, 2015 10:16am"
2015-01-17,Fuel crisis to last at least another week,Oil & Gas / Energy Sector,https://www.dawn.com/news/1157600/fuel-crisis-to-last-at-least-another-week,"Pakistan Fuel crisis to last at least another week Ogra blames OMCs for crises, petroleum minister blames increased demand, finance secretary blames circular debt. Updated 17 Jan, 2015 08:00am"
2015-01-17,Ogra cannot fix LPG price without legal powers,Oil & Gas / Energy Sector,https://www.dawn.com/news/1157519/ogra-cannot-fix-lpg-price-without-legal-powers,"Business Ogra cannot fix LPG price without legal powers Ogra on Friday asked the government to completely deregulate or legally empower it to regulate the sector. Updated 17 Jan, 2015 10:08am"
2015-01-17,Oil price collapse still unable to boost demand: IEA,Oil & Gas / Energy Sector,https://www.dawn.com/news/1157507/oil-price-collapse-still-unable-to-boost-demand-iea,"World Oil price collapse still unable to boost demand: IEA Oil price cuts still insufficient to stimulate crude consumption as econmoy weakness cancels out the benefits. Updated 17 Jan, 2015 10:05am"
2015-01-17,‘Oil price may fall to $25’,Oil & Gas / Energy Sector,https://www.dawn.com/news/1157513/oil-price-may-fall-to-25,"World ‘Oil price may fall to $25’ Russian oil Company Lukoil on Friday predicted that oil prices, could plunge as low as $25 per barrel. Updated 17 Jan, 2015 10:06am"
2015-01-18,"Fruits of stock boom shared by just 230,000 people",Stock Market (Direct),https://www.dawn.com/news/1157706/fruits-of-stock-boom-shared-by-just-230000-people,"Business Fruits of stock boom shared by just 230,000 people The total number of investors in the country’s stock market currently stands at around 230,000. Updated 18 Jan, 2015 10:09am"
2015-01-18,Oil slump puts clean energy push at risk,Oil & Gas / Energy Sector,https://www.dawn.com/news/1157704/oil-slump-puts-clean-energy-push-at-risk,"World Oil slump puts clean energy push at risk Falling oil prices could have a negative impact on global efforts to develop renewable energy sources, experts warn. Updated 18 Jan, 2015 10:11am"
2015-01-18,Stakeholders wait for SBP decision with optimism,Monetary Policy / Interest Rates; Inflation / CPI,https://www.dawn.com/news/1157703/stakeholders-wait-for-sbp-decision-with-optimism,"Business Stakeholders wait for SBP decision with optimism Low inflation has generated space for the policy makers to adopt a liberal monetary stance. Updated 18 Jan, 2015 10:12am"
2015-01-19,Embedded crisis in textile industry,Textile Sector,https://www.dawn.com/news/1157837/embedded-crisis-in-textile-industry,"Business Embedded crisis in textile industry The cut in output has also added to the cost of doing business. Updated 19 Jan, 2015 07:47am"
2015-01-19,"KSE index hits all-time high, crosses 34,000 points",Stock Market (Direct); Monetary Policy / Interest Rates; Oil & Gas / Energy Sector,https://www.dawn.com/news/1158012/kse-index-hits-all-time-high-crosses-34000-points,"Pakistan KSE index hits all-time high, crosses 34,000 points Bullish activity in the KSE fuelled by recovery in global oil prices and anticipation of interest rate cut by the SBP. Published 19 Jan, 2015 11:12am"
2015-01-19,No sign of let-up in petrol shortage,Oil & Gas / Energy Sector,https://www.dawn.com/news/1157917/no-sign-of-let-up-in-petrol-shortage,"Pakistan No sign of let-up in petrol shortage 'Emergency measures, including availability of funds for importing petrol and furnace oil are needed to end the crises.' Updated 19 Jan, 2015 12:19pm"
2015-01-19,World economies: Russia,Oil & Gas / Energy Sector,https://www.dawn.com/news/1157825/world-economies-russia,"Business World economies: Russia Russian economy, hit by plummeting oil prices, sliding ruble and Western sanctions, is being pushed towards recession. Updated 19 Jan, 2015 07:59am"
2015-01-20,Falling oil prices will not impact clean energy: UAE,Oil & Gas / Energy Sector,https://www.dawn.com/news/1158097/falling-oil-prices-will-not-impact-clean-energy-uae,"Business Falling oil prices will not impact clean energy: UAE Oil prices have fallen by almost 60 per cent since June. Updated 20 Jan, 2015 10:15am"
2015-01-20,"Petrol crisis deepens, spills over to Karachi",Oil & Gas / Energy Sector,https://www.dawn.com/news/1158124/petrol-crisis-deepens-spills-over-to-karachi,"Pakistan Petrol crisis deepens, spills over to Karachi PM forms inquiry  committee, Dar absolves himself of responsibility, Abbasi apologises. Updated 20 Jan, 2015 08:35am"
2015-01-20,Petrol crisis: Someone has to step down,Oil & Gas / Energy Sector,https://www.dawn.com/news/1158241/petrol-crisis-someone-has-to-step-down,"Business Petrol crisis: Someone has to step down If cronyism has to exist, the least the govt can do is keep it in some sort of balance with governance and progress. Updated 20 Jan, 2015 06:02pm"
2015-01-20,Proposals incorporated in draft textile policy,Textile Sector,https://www.dawn.com/news/1158109/proposals-incorporated-in-draft-textile-policy,"Business Proposals incorporated in draft textile policy The draft would likely be tabled for discussion in the upcoming meeting of the Economic Coordination Committee. Updated 20 Jan, 2015 10:16am"
2015-01-20,SBP chief asks banks to treat consumers fairly,Monetary Policy / Interest Rates,https://www.dawn.com/news/1158106/sbp-chief-asks-banks-to-treat-consumers-fairly,"Business SBP chief asks banks to treat consumers fairly “The banks have to take a leading role in promoting and ensuring consumer protection,” SBP governor Ashraf Wathra said. Updated 20 Jan, 2015 10:13am"
2015-01-20,Scramble for petrol as fuel crisis looms over Karachi,Oil & Gas / Energy Sector,https://www.dawn.com/news/1158164/scramble-for-petrol-as-fuel-crisis-looms-over-karachi,"Business Scramble for petrol as fuel crisis looms over Karachi Long queues of motorists were seen outside a few fuel stations amid speculation and reports of a feared petrol crisis. Updated 20 Jan, 2015 10:18am"
2015-01-21,China’s economic growth slows to 24-year low,GDP / Economic Growth,https://www.dawn.com/news/1158296/chinas-economic-growth-slows-to-24-year-low,"Business China’s economic growth slows to 24-year low China’s economy grew at its weakest for almost a quarter of a century in 2014. Updated 21 Jan, 2015 12:22pm"
2015-01-21,EU lifts Indian mango ban,Current Account / Trade,https://www.dawn.com/news/1158277/eu-lifts-indian-mango-ban,"Business EU lifts Indian mango ban European Union has agreed to lift a seven-month-old import ban on mangoes from India. Updated 21 Jan, 2015 12:20pm"
2015-01-21,PM’s team blames Ogra for crisis,Oil & Gas / Energy Sector,https://www.dawn.com/news/1158402/pms-team-blames-ogra-for-crisis,"Pakistan PM’s team blames Ogra for crisis Government suspends another senior official of PSO. Updated 21 Jan, 2015 09:29am"
2015-01-21,Punjab to have LNG Power Park,Oil & Gas / Energy Sector,https://www.dawn.com/news/1158283/punjab-to-have-lng-power-park,"Business Punjab to have LNG Power Park Punjab government decides to set up LNG Power Park which would produce 1,000 MW of electricity. Updated 21 Jan, 2015 12:20pm"
2015-01-21,What caused Pakistan's petrol crisis,Oil & Gas / Energy Sector,https://www.dawn.com/news/1158312/the-fuel-story,"Pakistan What caused Pakistan's petrol crisis http://www.dawn.com/news/1158312/the-fuel-story Published 21 Jan, 2015 11:31am"
2015-01-22,SC asks Railways to explain why it is not terminating lease of Royal Palm Golf,Oil & Gas / Energy Sector,https://www.dawn.com/news/1158635/sc-asks-railways-to-explain-why-it-is-not-terminating-lease-of-royal-palm-golf,"Pakistan SC asks Railways to explain why it is not terminating lease of Royal Palm Golf Railway minister says petrol shortage had not affected the Pakistan Railways since it had enough stocks to last 17 days. Updated 22 Jan, 2015 08:17am"
2015-01-22,Yields on T-bills cut to below 9pc,Monetary Policy / Interest Rates,https://www.dawn.com/news/1158573/yields-on-t-bills-cut-to-below-9pc,"Pakistan Yields on T-bills cut to below 9pc The policy rate cut by 50bps to 9.5 per cent in November 2014 was termed SBP’s overcautious approach by stakeholders. Updated 22 Jan, 2015 08:18am"
2015-01-23,Analysis: Reko Diq’s billion-dollar mystery,Currency / Exchange Rate,https://www.dawn.com/news/1158808/analysis-reko-diqs-billion-dollar-mystery,"Pakistan Analysis: Reko Diq’s billion-dollar mystery There are contradictions even between the reports available at TCC website and a study conducted by its geologists. Updated 15 Jul, 2019 11:30am"
2015-01-23,Anatomy of the petrol crisis,Oil & Gas / Energy Sector,https://www.dawn.com/news/1158756/anatomy-of-the-petrol-crisis,"Pakistan Anatomy of the petrol crisis Why did such a catastrophic shortage of an essential commodity occur? Published 23 Jan, 2015 01:15am"
2015-01-23,"Govt launches guide on GSP+, after one year",Fiscal Policy / Budget / Taxes; Current Account / Trade; Textile Sector,https://www.dawn.com/news/1158740/govt-launches-guide-on-gsp-after-one-year,"Pakistan Govt launches guide on GSP+, after one year Preferential tariff scheme boosted export of textile, leather goods, footwear and plastic products, says Dastagir. Updated 23 Jan, 2015 09:19am"
2015-01-23,India asks refiners to cut Iran oil imports ahead of Obama visit,Current Account / Trade; Oil & Gas / Energy Sector,https://www.dawn.com/news/1158735/india-asks-refiners-to-cut-iran-oil-imports-ahead-of-obama-visit,"World India asks refiners to cut Iran oil imports ahead of Obama visit ""India does not want Obama’s visit to be overshadowed by some dispute over sanctions,"" said consulting head Robin Mills. Updated 23 Jan, 2015 09:36am"
2015-01-23,Reservations over LNG deal with Qatar,Current Account / Trade; Oil & Gas / Energy Sector,https://www.dawn.com/news/1158841/reservations-over-lng-deal-with-qatar,"Pakistan Reservations over LNG deal with Qatar Petroleum ministry officials keeping their fingers crossed over the final agreement for the import of LNG from Qatar. Updated 23 Jan, 2015 08:28am"
2015-01-24,"Arrival and sale of Iranian petrol, diesel decline",Oil & Gas / Energy Sector,https://www.dawn.com/news/1159052/arrival-and-sale-of-iranian-petrol-diesel-decline,"Pakistan Arrival and sale of Iranian petrol, diesel decline Sale of Iranian petroleum products in the country at unregistered/ unauthorised outlets has slowed down, dealers claim. Updated 24 Jan, 2015 08:15am"
2015-01-24,Carpet exports fall 10pc,Current Account / Trade,https://www.dawn.com/news/1159045/carpet-exports-fall-10pc,"Business Carpet exports fall 10pc Carpet exports registered a decline of more than 10 per cent during the first half of the current fiscal year (2014-15). Updated 24 Jan, 2015 08:46am"
2015-01-24,China’s use of yuan for cross-border business growing,Currency / Exchange Rate,https://www.dawn.com/news/1159047/chinas-use-of-yuan-for-cross-border-business-growing,"Business China’s use of yuan for cross-border business growing China’s use of its own yuan currency for cross-border transactions increased “notably” to 9.95 trillion yuan last year. Updated 24 Jan, 2015 08:51am"
2015-01-24,Consumers to bear Rs55bn extra cost for power sector inefficiency,Fiscal Policy / Budget / Taxes; Oil & Gas / Energy Sector,https://www.dawn.com/news/1159054/consumers-to-bear-rs55bn-extra-cost-for-power-sector-inefficiency,"Pakistan Consumers to bear Rs55bn extra cost for power sector inefficiency ECC directed the Nepra to build over additional cost of system and managerial inefficiencies into the consumer tariff. Published 24 Jan, 2015 06:25am"
2015-01-24,Export of non-textile items falls,Current Account / Trade; Textile Sector,https://www.dawn.com/news/1159050/export-of-non-textile-items-falls,"Business Export of non-textile items falls Pakistan’s export of non-textile products fell 9 per cent during the first half of this fiscal year from a year ago. Updated 24 Jan, 2015 08:06am"
2015-01-24,Exporters panicky at drop  in textile exports,Current Account / Trade; Textile Sector,https://www.dawn.com/news/1159145/exporters-panicky-at-drop-in-textile-exports,"Pakistan Exporters panicky at drop  in textile exports Textile exports of Pakistan have witnessed a drop of 6.38 per cent in December last as compared to 2013. Updated 24 Jan, 2015 11:07am"
2015-01-24,Hesco sell-off process gets underway,Privatization / Divestment,https://www.dawn.com/news/1159051/hesco-sell-off-process-gets-underway,"Pakistan Hesco sell-off process gets underway The Privatisation Commission has initiated sell-off process of Hyderabad Electric Supply Company. Updated 24 Jan, 2015 08:26am"
2015-01-24,Index retreats for second day amid profit-taking,Stock Market (Direct),https://www.dawn.com/news/1159049/index-retreats-for-second-day-amid-profit-taking,"Business Index retreats for second day amid profit-taking The KSE-100 index closed in the red for the second day on Friday, shedding 120.38 points to finish at 34,026.59. Updated 24 Jan, 2015 07:58am"
2015-01-24,SBP slashes interest rates to 10 year low,Monetary Policy / Interest Rates,https://www.dawn.com/news/1159241/sbp-slashes-interest-rates-to-10-year-low,"Business SBP slashes interest rates to 10 year low SBP reduces policy rate by 100 basis points from 9.5% to 8.5%. Published 24 Jan, 2015 11:54pm"
2015-01-25,Businessmen term rate cut good but less than desired,Monetary Policy / Interest Rates,https://www.dawn.com/news/1159262/businessmen-term-rate-cut-good-but-less-than-desired,"Business Businessmen term rate cut good but less than desired SBP's decision of lowering the discount rate to 8.5 per cent has been welcomed by businessmen who termed it a good omen. Updated 25 Jan, 2015 09:40am"
2015-01-25,Interest rate cut by 100 basis points,Monetary Policy / Interest Rates,https://www.dawn.com/news/1159347/interest-rate-cut-by-100-basis-points,"Pakistan Interest rate cut by 100 basis points SBP brings interest rate to an eight-year low of 8.5 per cent for the next two months. Published 25 Jan, 2015 07:20am"
2015-01-25,Petrol supplies boosted to avoid crisis repeat,Oil & Gas / Energy Sector,https://www.dawn.com/news/1159261/petrol-supplies-boosted-to-avoid-crisis-repeat,"Pakistan Petrol supplies boosted to avoid crisis repeat Amid reports of further decline in petrol prices, the oil industry is trying to maximise supply in the coming week. Updated 25 Jan, 2015 09:48am"
2015-01-26,LNG imports in hot spot again,Current Account / Trade; Oil & Gas / Energy Sector,https://www.dawn.com/news/1159456/lng-imports-in-hot-spot-again,"Business LNG imports in hot spot again As of now, the government has not been able to finalise import arrangements or its pricing Published 26 Jan, 2015 06:59am"
2015-01-27,Interest rate cut sends index skyrocketing,Stock Market (Direct); Monetary Policy / Interest Rates,https://www.dawn.com/news/1159638/interest-rate-cut-sends-index-skyrocketing,"Pakistan Interest rate cut sends index skyrocketing The KSE-100 index surged by 439.94 points or 1.29 per cent to close at the new all-time high at 34,466.53 points. Updated 27 Jan, 2015 09:33am"
2015-01-27,Opec chief warns of future oil spike,Oil & Gas / Energy Sector,https://www.dawn.com/news/1159640/opec-chief-warns-of-future-oil-spike,"World Opec chief warns of future oil spike Al-Badri warned of a risk of a future price spike to $200 a barrel if investment in new supply capacity is too low. Updated 27 Jan, 2015 09:31am"
2015-01-27,SBP urges banks to ensure efficiency,Monetary Policy / Interest Rates; Current Account / Trade,https://www.dawn.com/news/1159643/sbp-urges-banks-to-ensure-efficiency,"Pakistan SBP urges banks to ensure efficiency Wathra said that banks should discourage import of non-essential items by reviewing their internal credit policies. Updated 27 Jan, 2015 09:23am"
2015-01-28,ADB to give $20m for improving privatisation programme,IMF / External Financing; Privatization / Divestment,https://www.dawn.com/news/1159859/adb-to-give-20m-for-improving-privatisation-programme,"Business ADB to give $20m for improving privatisation programme The policy-based loan is part of the ADB country operations business plan (2014-16). Updated 28 Jan, 2015 09:39am"
2015-01-28,Record-breaking spell sets in on stock market,Stock Market (Direct),https://www.dawn.com/news/1159853/record-breaking-spell-sets-in-on-stock-market,"Business Record-breaking spell sets in on stock market Stocks re­­mained firm on Tuesday with the KSE-100 index gaining 71.92 points to close at 34,538.45. Updated 28 Jan, 2015 09:39am"
