Date,News,What It Affects,Sentiment,Source
2025-01-07,"Stocks falter on economic, security situation",IMF / External Financing,Neutral,https://www.dawn.com/news/1883585/stocks-falter-on-economic-security-situation
2025-01-08,"Rightsizing is an IMF structural benchmark, says finance minister",IMF / External Financing,Neutral,https://www.dawn.com/news/1883755/rightsizing-is-an-imf-structural-benchmark-says-finance-minister
2025-01-08,PM boasts of stability after UAE agrees to $2bn rollover,Fiscal Policy / Budget / Taxes; Current Account / Trade,Neutral,https://www.dawn.com/news/1883758/pm-boasts-of-stability-after-uae-agrees-to-2bn-rollover
2025-01-08,"128 DEA, education dept officials involved in Rs500m scam in Bahawalnagar",Political Stability / Government,Neutral,https://www.dawn.com/news/1883790/128-dea-education-dept-officials-involved-in-rs500m-scam-in-bahawalnagar
2025-01-08,PM Shehbaz stresses need to honour IMF commitments,Stock Market (Direct); IMF / External Financing,Negative,https://www.dawn.com/news/1883866/pm-shehbaz-stresses-need-to-honour-imf-commitments
2025-01-09,Stocks bleed for third straight session despite PM’s visit,Stock Market (Direct),Neutral,https://www.dawn.com/news/1883966/stocks-bleed-for-third-straight-session-despite-pms-visit
2025-01-09,"After a decade, govt wakes up to market Gwadar port",Currency / Exchange Rate,Neutral,https://www.dawn.com/news/1883968/after-a-decade-govt-wakes-up-to-market-gwadar-port
2025-01-09,"Country’s debt level, balance of payments under control, says SBP governor",Monetary Policy / Interest Rates; Current Account / Trade,Neutral,https://www.dawn.com/news/1884080/countrys-debt-level-balance-of-payments-under-control-says-sbp-governor
2025-01-09,Development spending falls off cliff in July-Dec,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1883971/development-spending-falls-off-cliff-in-july-dec
2025-01-09,Four Pakistani banks in S&P’s Asia-Pacific top 10 list,Banking Sector; Credit Rating,Neutral,https://www.dawn.com/news/1883970/four-pakistani-banks-in-sampps-asia-pacific-top-10-list
2025-01-09,Stakeholders asked to submit budget proposals,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1883967/stakeholders-asked-to-submit-budget-proposals
2025-01-10,"Remittances, exports will stabilise economy: SBP chief",Monetary Policy / Interest Rates; Inflation / CPI; Current Account / Trade,Neutral,https://www.dawn.com/news/1884232/remittances-exports-will-stabilise-economy-sbp-chief
2025-01-10,"PSX loses 1,510 points as panic-selling continues",Stock Market (Direct); Political Stability / Government,Negative,https://www.dawn.com/news/1884235/psx-loses-1510-points-as-panic-selling-continues
2025-01-10,SBP reserves  fall $15m,Monetary Policy / Interest Rates,Negative,https://www.dawn.com/news/1884234/sbp-reserves-fall-15m
2025-01-10,PIA resumes flights to Paris today following four-year hiatus,Privatization / Divestment,Neutral,https://www.dawn.com/news/1884198/pia-resumes-flights-to-paris-today-following-four-year-hiatus
2025-01-10,"Import delays push lint prices to record Rs20,000 per maund",Fiscal Policy / Budget / Taxes; Current Account / Trade,Negative,https://www.dawn.com/news/1884233/import-delays-push-lint-prices-to-record-rs20000-per-maund
2025-01-10,"PIA flight departs from Islamabad for Paris, ending 4-year EU ban",Privatization / Divestment,Negative,https://www.dawn.com/news/1884310/pia-flight-departs-from-islamabad-for-paris-ending-4-year-eu-ban
2025-01-10,"IMF agrees to end 18pc GST on new aircraft, NA panel told",IMF / External Financing; Privatization / Divestment,Neutral,https://www.dawn.com/news/1884229/imf-agrees-to-end-18pc-gst-on-new-aircraft-na-panel-told
2025-01-10,Govt sees price stability amid ample fertiliser supplies,Fertilizer Sector,Neutral,https://www.dawn.com/news/1884231/govt-sees-price-stability-amid-ample-fertiliser-supplies
2025-01-10,Centre eyes unveiling new budget in early June,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1884228/centre-eyes-unveiling-new-budget-in-early-june
2025-01-11,Regulator promises action on LPG overcharging,Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1884429/regulator-promises-action-on-lpg-overcharging
2025-01-11,LNG prices for January notified,Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1884431/lng-prices-for-january-notified
2025-01-11,Weekly inflation slows to 1.9pc,Inflation / CPI,Positive,https://www.dawn.com/news/1884433/weekly-inflation-slows-to-19pc
2025-01-11,Buying at dips helps index snap bearish run,Cement Sector,Negative,https://www.dawn.com/news/1884435/buying-at-dips-helps-index-snap-bearish-run
2025-01-11,Barriers impeding regional export: Ishaq Dar,Current Account / Trade,Neutral,https://www.dawn.com/news/1884428/barriers-impeding-regional-export-ishaq-dar
2025-01-11,Economy seen growing at 3.4pc in FY25,IMF / External Financing,Neutral,https://www.dawn.com/news/1884432/economy-seen-growing-at-34pc-in-fy25
2025-01-12,Editorial: Remittances must be channeled for development instead of squandering on imported luxuries,Current Account / Trade,Negative,https://www.dawn.com/news/1884673
2025-01-12,Exports to Europe rise to $3.8bn in July-Nov,Current Account / Trade,Positive,https://www.dawn.com/news/1884643/exports-to-europe-rise-to-38bn-in-july-nov
2025-01-12,"Falling tea imports causing losses, says association",Current Account / Trade,Neutral,https://www.dawn.com/news/1884642/falling-tea-imports-causing-losses-says-association
2025-01-12,"IMF chief sees steady world growth, disinflation",Inflation / CPI; IMF / External Financing,Neutral,https://www.dawn.com/news/1884641/imf-chief-sees-steady-world-growth-disinflation
2025-01-12,Ogra cracks down on adulterated LPG sale,Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1884627/ogra-cracks-down-on-adulterated-lpg-sale
2025-01-12,"PSX loses 4,340 points in first week of new year",Stock Market (Direct),Negative,https://www.dawn.com/news/1884647/psx-loses-4340-points-in-first-week-of-new-year
2025-01-13,Stock market’s surge  — the myth of an  economic turnaround,Stock Market (Direct),Neutral,https://www.dawn.com/news/1884733/stock-markets-surge-the-myth-of-an-economic-turnaround
2025-01-13,"Uraan plan must prioritise food security, female empowerment to incur any meaningful change in country",Foreign Investment / FPI,Neutral,https://www.dawn.com/news/1884741
2025-01-13,Pension pain,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1884747/pension-pain
2025-01-13,"Pension budget stands at over 6 times the shares for environment, housing, health, education combined",Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1884747
2025-01-13,"Fate of Gwadar power plant under question as consistent delays, high costs render it unaffordable",Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1884746
2025-01-13,Empowering local governments,Fiscal Policy / Budget / Taxes,Positive,https://www.dawn.com/news/1884745/empowering-local-governments
2025-01-13,Aurangzeb says country making progress on Panda bonds: report,IMF / External Financing,Neutral,https://www.dawn.com/news/1884901/aurangzeb-says-country-making-progress-on-panda-bonds-report
2025-01-13,Finance: The three “Fs” of economy,Foreign Investment / FPI,Neutral,https://www.dawn.com/news/1884741/finance-the-three-fs-of-economy
2025-01-14,"US, China and UK remain top 3 destinations of Pakistani exports: SBP",Monetary Policy / Interest Rates; Current Account / Trade,Neutral,https://www.dawn.com/news/1885139/us-china-and-uk-remain-top-3-destinations-of-pakistani-exports-sbp
2025-01-14,Textile parks to boost exports,Current Account / Trade; Textile Sector,Positive,https://www.dawn.com/news/1885073/textile-parks-to-boost-exports
2025-01-14,"Oil prices climb $2, hits 4-month high",Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1885074/oil-prices-climb-2-hits-4-month-high
2025-01-14,"Petrol, diesel to cost Rs6 more in next fortnight",Current Account / Trade,Neutral,https://www.dawn.com/news/1885075/petrol-diesel-to-cost-rs6-more-in-next-fortnight
2025-01-14,Bulls stage 983-point rally on value-hunting,Stock Market (Direct); Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1885072/bulls-stage-983-point-rally-on-value-hunting
2025-01-14,64pc of adults now have bank accounts,Monetary Policy / Interest Rates,Neutral,https://www.dawn.com/news/1885077/64pc-of-adults-now-have-bank-accounts
2025-01-14,"Nestle, Unilever and PIA among ‘happiest workplaces’ in Pakistan: report",Privatization / Divestment,Neutral,https://www.dawn.com/news/1885143/nestle-unilever-and-pia-among-happiest-workplaces-in-pakistan-report
2025-01-15,Auto sales surge 54pc in July-December,Automobile Sector,Positive,https://www.dawn.com/news/1885216/auto-sales-surge-54pc-in-july-december
2025-01-15,FBR seeks banker’s bail cancellation in Rs40bn tax fraud case,Fiscal Policy / Budget / Taxes,Negative,https://www.dawn.com/news/1885238/fbr-seeks-bankers-bail-cancellation-in-rs40bn-tax-fraud-case
2025-01-15,Govt retires Rs1.5tr bank debt,Monetary Policy / Interest Rates,Neutral,https://www.dawn.com/news/1885215/govt-retires-rs15tr-bank-debt
2025-01-15,Stocks extend overnight gains on select buying,Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1885212/stocks-extend-overnight-gains-on-select-buying
2025-01-15,World Bank pledges $20bn to Pakistan under 10-year partnership framework,IMF / External Financing; Fiscal Policy / Budget / Taxes; GDP / Economic Growth,Neutral,https://www.dawn.com/news/1885337/world-bank-pledges-20bn-to-pakistan-under-10-year-partnership-framework
2025-01-16,Stocks resume slide amid political volatility,Stock Market (Direct); Political Stability / Government,Negative,https://www.dawn.com/news/1885573/stocks-resume-slide-amid-political-volatility
2025-01-16,"Govt raises Rs421bn, cuts yields on PIBs",Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1885574/govt-raises-rs421bn-cuts-yields-on-pibs
2025-01-16,"UAE rolls over $2bn deposits, SBP confirms",Monetary Policy / Interest Rates,Neutral,https://www.dawn.com/news/1885667/uae-rolls-over-2bn-deposits-sbp-confirms
2025-01-16,Ahsan asks banks to enhance lending to SMEs for driving up exports,Current Account / Trade,Positive,https://www.dawn.com/news/1885577/ahsan-asks-banks-to-enhance-lending-to-smes-for-driving-up-exports
2025-01-16,Exports to five Central Asian states fall 9pc,Current Account / Trade,Neutral,https://www.dawn.com/news/1885575/exports-to-five-central-asian-states-fall-9pc
2025-01-16,"With competition rising over resources, staying within budget gets increasingly difficult",Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1885571/fight-over-resources
2025-01-17,World Bank sees slow and steady global growth,IMF / External Financing,Neutral,https://www.dawn.com/news/1885801/world-bank-sees-slow-and-steady-global-growth
2025-01-17,Stocks extend losses as uncertainty persists,Oil & Gas / Energy Sector; Fertilizer Sector,Neutral,https://www.dawn.com/news/1885802/stocks-extend-losses-as-uncertainty-persists
2025-01-17,Telecom operators resent 300pc hike in router prices,Current Account / Trade,Neutral,https://www.dawn.com/news/1885805/telecom-operators-resent-300pc-hike-in-router-prices
2025-01-17,"Shares at PSX climb 1,400 points on easing political concerns",Stock Market (Direct),Positive,https://www.dawn.com/news/1885853/shares-at-psx-climb-1400-points-on-easing-political-concerns
2025-01-17,FBR directed to withdraw weak tax cases,Fiscal Policy / Budget / Taxes,Positive,https://www.dawn.com/news/1885804/fbr-directed-to-withdraw-weak-tax-cases
2025-01-18,Current account posts $1.2bn surplus in July-Dec,Current Account / Trade; Debt / External Debt,Neutral,https://www.dawn.com/news/1886021/current-account-posts-12bn-surplus-in-july-dec
2025-01-18,FDI goes up by 20pc in six months,Foreign Investment / FPI,Positive,https://www.dawn.com/news/1886025/fdi-goes-up-by-20pc-in-six-months
2025-01-18,IMF lowers Pakistan’s GDP growth estimate to 3pc,IMF / External Financing; GDP / Economic Growth,Neutral,https://www.dawn.com/news/1885972/imf-lowers-pakistans-gdp-growth-estimate-to-3pc
2025-01-18,IT exports thrive despite internet issues,Current Account / Trade,Neutral,https://www.dawn.com/news/1886023/it-exports-thrive-despite-internet-issues
2025-01-18,Short-term inflation declines for third consecutive week,Inflation / CPI,Positive,https://www.dawn.com/news/1886027/short-term-inflation-declines-for-third-consecutive-week
2025-01-19,World Bank for improving liaison with Pakistan’s development partners,IMF / External Financing,Neutral,https://www.dawn.com/news/1886220/world-bank-for-improving-liaison-with-pakistans-development-partners
2025-01-19,Trade deficit with nine countries surges 43pc,Current Account / Trade,Neutral,https://www.dawn.com/news/1886222/trade-deficit-with-nine-countries-surges-43pc
2025-01-19,Shehbaz hails Digital FDI achievement,Foreign Investment / FPI,Neutral,https://www.dawn.com/news/1886203/shehbaz-hails-digital-fdi-achievement
2025-01-19,India set to allow 1 million tonnes of sugar exports this year,Current Account / Trade,Neutral,https://www.dawn.com/news/1886296/india-set-to-allow-1-million-tonnes-of-sugar-exports-this-year
2025-01-19,"Govt asked to end new canals, corporate farming projects",GDP / Economic Growth,Neutral,https://www.dawn.com/news/1886224/govt-asked-to-end-new-canals-corporate-farming-projects
2025-01-19,Rwanda seeks to expand direct trade,Current Account / Trade,Neutral,https://www.dawn.com/news/1886221/rwanda-seeks-to-expand-direct-trade
2025-01-20,Boosting growth in a durable way,Current Account / Trade,Positive,https://www.dawn.com/news/1886482/boosting-growth-in-a-durable-way
2025-01-20,"Centre, KP seek clarity on gas sale ‘in violation of rules’",Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1886405/centre-kp-seek-clarity-on-gas-sale-in-violation-of-rules
2025-01-20,Education wins big in tax dodge efforts,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1886432/education-wins-big-in-tax-dodge-efforts
2025-01-20,"National security, broader alignment with emerging world order seen as Pakistan’s new priorities",Current Account / Trade,Positive,https://www.dawn.com/news/1886429
2025-01-20,Shares at PSX climb more than 500 points ahead of MPC meeting,Stock Market (Direct),Positive,https://www.dawn.com/news/1886532/shares-at-psx-climb-more-than-500-points-ahead-of-mpc-meeting
2025-01-20,Underutilising PSDP budget not only a missed opportunity but borders on negligence,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1886474
2025-01-21,"Stocks rise, bitcoin hits record as Trump returns",Currency / Exchange Rate,Positive,https://www.dawn.com/news/1886694/stocks-rise-bitcoin-hits-record-as-trump-returns
2025-01-21,Textile exports rise 9.6pc in 1HFY25,Current Account / Trade; Textile Sector,Positive,https://www.dawn.com/news/1886692/textile-exports-rise-96pc-in-1hfy25
2025-01-21,Oil imports show paltry growth,Current Account / Trade; Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1886693/oil-imports-show-paltry-growth
2025-01-21,Finance minister says $1bn loan agreed with two Middle Eastern banks,IMF / External Financing,Neutral,https://www.dawn.com/news/1886789/finance-minister-says-1bn-loan-agreed-with-two-middle-eastern-banks
2025-01-21,Independent power producer Rousch hands over complex,Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1886691/independent-power-producer-rousch-hands-over-complex
2025-01-21,Repatriation of profit surges 114pc,Foreign Reserves,Positive,https://www.dawn.com/news/1886695/repatriation-of-profit-surges-114pc
2025-01-22,Centre claims K-Electric owes it Rs225bn,Oil & Gas / Energy Sector,Positive,https://www.dawn.com/news/1886858/centre-claims-k-electric-owes-it-rs225bn
2025-01-22,Engin­eering Development Board to prepare Power Sector Indigenisation Plan,Current Account / Trade; Oil & Gas / Energy Sector,Positive,https://www.dawn.com/news/1886851/engineering-development-board-to-prepare-power-sector-indigenisation-plan
2025-01-22,Exporters warn against changes in Export Facilitation Scheme,Fiscal Policy / Budget / Taxes; Current Account / Trade,Negative,https://www.dawn.com/news/1886842/exporters-warn-against-changes-in-export-facilitation-scheme
2025-01-22,NA panel supports FBR move to curb realty black money,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1886838/na-panel-supports-fbr-move-to-curb-realty-black-money
2025-01-22,Stocks lose 803 points on profit-taking,Political Stability / Government,Negative,https://www.dawn.com/news/1886848/stocks-lose-803-points-on-profit-taking
2025-01-23,Senators call on PM Shehbaz to undo FBR ‘extravagance’,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1887084/senators-call-on-pm-shehbaz-to-undo-fbr-extravagance
2025-01-23,"PSX loses 1,599 points on political uncertainty",Stock Market (Direct),Negative,https://www.dawn.com/news/1887078/psx-loses-1599-points-on-political-uncertainty
2025-01-23,"PM Shehbaz thanks World Bank for placing faith in Pakistan, inking new partnership programme",IMF / External Financing,Neutral,https://www.dawn.com/news/1887203/pm-shehbaz-thanks-world-bank-for-placing-faith-in-pakistan-inking-new-partnership-programme
2025-01-23,Govt slashes T-bill rates by up to 41bps,Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1887080/govt-slashes-t-bill-rates-by-up-to-41bps
2025-01-24,Stocks recover 594 points on select buying,IMF / External Financing,Positive,https://www.dawn.com/news/1887286/stocks-recover-594-points-on-select-buying
2025-01-24,Nadra briefs World Bank team on project,IMF / External Financing,Neutral,https://www.dawn.com/news/1887281/nadra-briefs-world-bank-team-on-project
2025-01-24,PM hails $20bn World Bank partnership to boost growth,IMF / External Financing,Positive,https://www.dawn.com/news/1887312/pm-hails-20bn-world-bank-partnership-to-boost-growth
2025-01-24,SBP reserves fall $276m,Monetary Policy / Interest Rates,Negative,https://www.dawn.com/news/1887285/sbp-reserves-fall-276m
2025-01-24,"Senate panel, energy players discuss challenges",Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1887284/senate-panel-energy-players-discuss-challenges
2025-01-24,Surging rice shipments fuel food exports,Inflation / CPI; Current Account / Trade,Neutral,https://www.dawn.com/news/1887282/surging-rice-shipments-fuel-food-exports
2025-01-25,Subcommittee to assess FBR’s vacant post exemption plea,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1887535/subcommittee-to-assess-fbrs-vacant-post-exemption-plea
2025-01-25,World Bank wants Pakistan to do more to put house in order,IMF / External Financing,Neutral,https://www.dawn.com/news/1887485/world-bank-wants-pakistan-to-do-more-to-put-house-in-order
2025-01-25,Stocks rally amid economic optimism,Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1887539/stocks-rally-amid-economic-optimism
2025-01-25,Short-term inflation rises 0.52pc,Inflation / CPI,Negative,https://www.dawn.com/news/1887537/short-term-inflation-rises-052pc
2025-01-25,Industry leaders seek major cut in interest rate,Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1887532/industry-leaders-seek-major-cut-in-interest-rate
2025-01-25,"Commerce minister empowered to grant one-time import, export waivers",Current Account / Trade,Neutral,https://www.dawn.com/news/1887534/commerce-minister-empowered-to-grant-one-time-import-export-waivers
2025-01-25,Bank credit to private sector surges manifold,Textile Sector,Neutral,https://www.dawn.com/news/1887536/bank-credit-to-private-sector-surges-manifold
2025-01-26,Govt reverses decision to halt gas supplies to captive power plants,IMF / External Financing,Negative,https://www.dawn.com/news/1887746/govt-reverses-decision-to-halt-gas-supplies-to-captive-power-plants
2025-01-26,Govt’s commercial borrowing to shake rupee confidence,Currency / Exchange Rate,Neutral,https://www.dawn.com/news/1887748/govts-commercial-borrowing-to-shake-rupee-confidence
2025-01-26,"Import of vehicles, parts for local assembly rises",Current Account / Trade,Neutral,https://www.dawn.com/news/1887745/import-of-vehicles-parts-for-local-assembly-rises
2025-01-26,Non-textile exports soar 13pc to $7.5bn,Current Account / Trade; Textile Sector,Positive,https://www.dawn.com/news/1887747/non-textile-exports-soar-13pc-to-75bn
2025-01-26,Uncertainty turns PSX bearish in volatile week,Stock Market (Direct),Negative,https://www.dawn.com/news/1887749/uncertainty-turns-psx-bearish-in-volatile-week
2025-01-27,"With millions of ordinary Pakistanis unemployed and below the poverty line, all energies must be focused on economic growth this year",GDP / Economic Growth,Neutral,https://www.dawn.com/news/1887934
2025-01-27,SBP cuts key policy rate by 100bps to 12pc,Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1888017/sbp-cuts-key-policy-rate-by-100bps-to-12pc
2025-01-27,China bans livestock product imports from numerous countries on disease worries,Current Account / Trade,Negative,https://www.dawn.com/news/1888018/china-bans-livestock-product-imports-from-numerous-countries-on-disease-worries
2025-01-27,Fiscal potential of agricultural taxation,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1887932/fiscal-potential-of-agricultural-taxation
2025-01-28,Senate body orders fresh audit of solar imports since 2018,Current Account / Trade,Neutral,https://www.dawn.com/news/1888149/senate-body-orders-fresh-audit-of-solar-imports-since-2018
2025-01-28,"Chinese DeepSeek sparks global AI sell-off, Nvidia loses about $593bn of value",Stock Market (Direct),Negative,https://www.dawn.com/news/1888233/chinese-deepseek-sparks-global-ai-sell-off-nvidia-loses-about-593bn-of-value
2025-01-28,Editorial: It is time to prioritise long-term stability over unsustainable faster growth,Monetary Policy / Interest Rates; GDP / Economic Growth,Positive,https://www.dawn.com/news/1888171
2025-01-28,"Govt admits contraction in industrial, agri sectors",Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1888152/govt-admits-contraction-in-industrial-agri-sectors
2025-01-28,Industry says single-digit rate will revive economy,Monetary Policy / Interest Rates,Neutral,https://www.dawn.com/news/1888150/industry-says-single-digit-rate-will-revive-economy
2025-01-28,PBC team shares budget proposals,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1888147/pbc-team-shares-budget-proposals
2025-01-28,"PSX remains under pressure as shares lose nearly 1,500 points",Stock Market (Direct),Negative,https://www.dawn.com/news/1888235/psx-remains-under-pressure-as-shares-lose-nearly-1500-points
2025-01-28,PSX tumbles on ‘poor’ corporate earnings,Stock Market (Direct); Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1888143/psx-tumbles-on-poor-corporate-earnings
2025-01-29,"Senator Vawda raises alarm over FBR’s decision to procure 1,010 vehicles",Fiscal Policy / Budget / Taxes,Neutral,"https://www.dawn.com/news/1888345#:~:text=Amendment%20Bill%202025.-,FBR%20vehicles,-Later%2C%20Senator%20Faisal"
2025-01-29,"Govt hints at cheaper industrial power, tax relief for the salaried",Fiscal Policy / Budget / Taxes,Positive,https://www.dawn.com/news/1888363/govt-hints-at-cheaper-industrial-power-tax-relief-for-the-salaried
2025-01-29,Easypaisa Bank gets digital bank licence,Monetary Policy / Interest Rates,Neutral,https://www.dawn.com/news/1888366/easypaisa-bank-gets-digital-bank-licence
2025-01-30,"After many years, SBP has the kind of leadership it needs",Monetary Policy / Interest Rates; Inflation / CPI,Neutral,https://www.dawn.com/news/1888598
2025-01-30,"Bears drag stocks below 112,000 level",Stock Market (Direct),Negative,https://www.dawn.com/news/1888553/bears-drag-stocks-below-112000-level
2025-01-30,NA panel questions quality negligence in rice exports,Current Account / Trade,Neutral,https://www.dawn.com/news/1888556/na-panel-questions-quality-negligence-in-rice-exports
2025-01-30,New procedures to bridge sales tax collection gap,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1888559/new-procedures-to-bridge-sales-tax-collection-gap
2025-01-31,"Bulls take control of PSX as shares climb 1,000 points",Stock Market (Direct); Inflation / CPI,Positive,https://www.dawn.com/news/1888862/bulls-take-control-of-psx-as-shares-climb-1000-points
2025-01-31,Govt claims measures help ease inflation,Inflation / CPI,Positive,https://www.dawn.com/news/1888802/govt-claims-measures-help-ease-inflation
