Date,News,What It Affects,Sentiment,Source
2015-01-14,"Fuel, power shortage looms as oil stocks plummet",Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1156877/fuel-power-shortage-looms-as-oil-stocks-plummet
2015-01-14,S. Arabia will suffer from oil slide: Iran,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1156866/s-arabia-will-suffer-from-oil-slide-iran
2015-01-15,80pc of Lahore's petrol stations closed due to cut in supply,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1157181/80pc-of-lahores-petrol-stations-closed-due-to-cut-in-supply
2015-01-15,Rs3 per unit cut in power tariff likely,Fiscal Policy / Budget / Taxes,Positive,https://www.dawn.com/news/1157064/rs3-per-unit-cut-in-power-tariff-likely
2015-01-15,"SBP tracking cases of money laundering, committee told",Monetary Policy / Interest Rates,No Signal,https://www.dawn.com/news/1157103/sbp-tracking-cases-of-money-laundering-committee-told
2015-01-16,FBR recovers Rs19m in missing containers case,Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1157312/fbr-recovers-rs19m-in-missing-containers-case
2015-01-16,Foreign investment triples to $1.6bn on debt securities,Foreign Investment / FPI,No Signal,https://www.dawn.com/news/1157314/foreign-investment-triples-to-16bn-on-debt-securities
2015-01-16,India makes surprise interest rate cut to 7.75pc,Monetary Policy / Interest Rates; Banking Sector,Positive,https://www.dawn.com/news/1157303/india-makes-surprise-interest-rate-cut-to-775pc
2015-01-17,21-point gain tosses index to fresh peak,Stock Market (Direct),Positive,https://www.dawn.com/news/1157511/21-point-gain-tosses-index-to-fresh-peak
2015-01-17,"4,641 companies not filing tax returns",Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1157514/4641-companies-not-filing-tax-returns
2015-01-17,C/A deficit widens to $2.3bn,Current Account / Trade; Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1157515/ca-deficit-widens-to-23bn
2015-01-17,Fuel crisis to last at least another week,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1157600/fuel-crisis-to-last-at-least-another-week
2015-01-17,Ogra cannot fix LPG price without legal powers,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1157519/ogra-cannot-fix-lpg-price-without-legal-powers
2015-01-17,Oil price collapse still unable to boost demand: IEA,Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1157507/oil-price-collapse-still-unable-to-boost-demand-iea
2015-01-17,‘Oil price may fall to $25’,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1157513/oil-price-may-fall-to-25
2015-01-18,"Fruits of stock boom shared by just 230,000 people",Stock Market (Direct),No Signal,https://www.dawn.com/news/1157706/fruits-of-stock-boom-shared-by-just-230000-people
2015-01-18,Oil slump puts clean energy push at risk,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1157704/oil-slump-puts-clean-energy-push-at-risk
2015-01-18,Stakeholders wait for SBP decision with optimism,Monetary Policy / Interest Rates; Inflation / CPI,No Signal,https://www.dawn.com/news/1157703/stakeholders-wait-for-sbp-decision-with-optimism
2015-01-19,Embedded crisis in textile industry,Textile Sector,Negative,https://www.dawn.com/news/1157837/embedded-crisis-in-textile-industry
2015-01-19,"KSE index hits all-time high, crosses 34,000 points",Stock Market (Direct); Monetary Policy / Interest Rates; Oil & Gas / Energy Sector,Positive,https://www.dawn.com/news/1158012/kse-index-hits-all-time-high-crosses-34000-points
2015-01-19,No sign of let-up in petrol shortage,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1157917/no-sign-of-let-up-in-petrol-shortage
2015-01-19,World economies: Russia,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1157825/world-economies-russia
2015-01-20,Falling oil prices will not impact clean energy: UAE,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1158097/falling-oil-prices-will-not-impact-clean-energy-uae
2015-01-20,"Petrol crisis deepens, spills over to Karachi",Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1158124/petrol-crisis-deepens-spills-over-to-karachi
2015-01-20,Petrol crisis: Someone has to step down,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1158241/petrol-crisis-someone-has-to-step-down
2015-01-20,Proposals incorporated in draft textile policy,Textile Sector,No Signal,https://www.dawn.com/news/1158109/proposals-incorporated-in-draft-textile-policy
2015-01-20,SBP chief asks banks to treat consumers fairly,Monetary Policy / Interest Rates,No Signal,https://www.dawn.com/news/1158106/sbp-chief-asks-banks-to-treat-consumers-fairly
2015-01-20,Scramble for petrol as fuel crisis looms over Karachi,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1158164/scramble-for-petrol-as-fuel-crisis-looms-over-karachi
2015-01-21,China’s economic growth slows to 24-year low,GDP / Economic Growth,Negative,https://www.dawn.com/news/1158296/chinas-economic-growth-slows-to-24-year-low
2015-01-21,EU lifts Indian mango ban,Current Account / Trade,Negative,https://www.dawn.com/news/1158277/eu-lifts-indian-mango-ban
2015-01-21,PM’s team blames Ogra for crisis,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1158402/pms-team-blames-ogra-for-crisis
2015-01-21,Punjab to have LNG Power Park,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1158283/punjab-to-have-lng-power-park
2015-01-21,What caused Pakistan's petrol crisis,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1158312/the-fuel-story
2015-01-22,SC asks Railways to explain why it is not terminating lease of Royal Palm Golf,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1158635/sc-asks-railways-to-explain-why-it-is-not-terminating-lease-of-royal-palm-golf
2015-01-22,Yields on T-bills cut to below 9pc,Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1158573/yields-on-t-bills-cut-to-below-9pc
2015-01-23,Analysis: Reko Diq’s billion-dollar mystery,Currency / Exchange Rate,No Signal,https://www.dawn.com/news/1158808/analysis-reko-diqs-billion-dollar-mystery
2015-01-23,Anatomy of the petrol crisis,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1158756/anatomy-of-the-petrol-crisis
2015-01-23,"Govt launches guide on GSP+, after one year",Fiscal Policy / Budget / Taxes; Current Account / Trade; Textile Sector,No Signal,https://www.dawn.com/news/1158740/govt-launches-guide-on-gsp-after-one-year
2015-01-23,India asks refiners to cut Iran oil imports ahead of Obama visit,Current Account / Trade; Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1158735/india-asks-refiners-to-cut-iran-oil-imports-ahead-of-obama-visit
2015-01-23,Reservations over LNG deal with Qatar,Current Account / Trade; Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1158841/reservations-over-lng-deal-with-qatar
2015-01-24,"Arrival and sale of Iranian petrol, diesel decline",Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1159052/arrival-and-sale-of-iranian-petrol-diesel-decline
2015-01-24,Carpet exports fall 10pc,Current Account / Trade,Negative,https://www.dawn.com/news/1159045/carpet-exports-fall-10pc
2015-01-24,China’s use of yuan for cross-border business growing,Currency / Exchange Rate,No Signal,https://www.dawn.com/news/1159047/chinas-use-of-yuan-for-cross-border-business-growing
2015-01-24,Consumers to bear Rs55bn extra cost for power sector inefficiency,Fiscal Policy / Budget / Taxes; Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1159054/consumers-to-bear-rs55bn-extra-cost-for-power-sector-inefficiency
2015-01-24,Export of non-textile items falls,Current Account / Trade; Textile Sector,Negative,https://www.dawn.com/news/1159050/export-of-non-textile-items-falls
2015-01-24,Exporters panicky at drop  in textile exports,Current Account / Trade; Textile Sector,Negative,https://www.dawn.com/news/1159145/exporters-panicky-at-drop-in-textile-exports
2015-01-24,Hesco sell-off process gets underway,Privatization / Divestment,Negative,https://www.dawn.com/news/1159051/hesco-sell-off-process-gets-underway
2015-01-24,Index retreats for second day amid profit-taking,Stock Market (Direct),Negative,https://www.dawn.com/news/1159049/index-retreats-for-second-day-amid-profit-taking
2015-01-24,SBP slashes interest rates to 10 year low,Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1159241/sbp-slashes-interest-rates-to-10-year-low
2015-01-25,Businessmen term rate cut good but less than desired,Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1159262/businessmen-term-rate-cut-good-but-less-than-desired
2015-01-25,Interest rate cut by 100 basis points,Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1159347/interest-rate-cut-by-100-basis-points
2015-01-25,Petrol supplies boosted to avoid crisis repeat,Oil & Gas / Energy Sector,Neutral,https://www.dawn.com/news/1159261/petrol-supplies-boosted-to-avoid-crisis-repeat
2015-01-26,LNG imports in hot spot again,Current Account / Trade; Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1159456/lng-imports-in-hot-spot-again
2015-01-27,Interest rate cut sends index skyrocketing,Stock Market (Direct); Monetary Policy / Interest Rates,Positive,https://www.dawn.com/news/1159638/interest-rate-cut-sends-index-skyrocketing
2015-01-27,Opec chief warns of future oil spike,Oil & Gas / Energy Sector,Negative,https://www.dawn.com/news/1159640/opec-chief-warns-of-future-oil-spike
2015-01-27,SBP urges banks to ensure efficiency,Monetary Policy / Interest Rates; Current Account / Trade,No Signal,https://www.dawn.com/news/1159643/sbp-urges-banks-to-ensure-efficiency
2015-01-28,ADB to give $20m for improving privatisation programme,IMF / External Financing; Privatization / Divestment,No Signal,https://www.dawn.com/news/1159859/adb-to-give-20m-for-improving-privatisation-programme
2015-01-28,Record-breaking spell sets in on stock market,Stock Market (Direct),Positive,https://www.dawn.com/news/1159853/record-breaking-spell-sets-in-on-stock-market
2015-01-29,FBR delays refund of Rs30bn,Fiscal Policy / Budget / Taxes,Negative,https://www.dawn.com/news/1160070/fbr-delays-refund-of-rs30bn
2015-01-29,PSO resumes fuel imports,Current Account / Trade; Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1160059/pso-resumes-fuel-imports
2015-01-29,Pakistan Oilfields declares dividend,Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1160066/pakistan-oilfields-declares-dividend
2015-01-29,Profit-taking halts upward journey on stock market,Stock Market (Direct),Negative,https://www.dawn.com/news/1160063/profit-taking-halts-upward-journey-on-stock-market
2015-01-29,South Asia attracts more FDI in 2014,Foreign Investment / FPI,No Signal,https://www.dawn.com/news/1160069/south-asia-attracts-more-fdi-in-2014
2015-01-29,"Textile policy delay perturbs industry, exporters",Textile Sector,Negative,https://www.dawn.com/news/1160047/textile-policy-delay-perturbs-industry-exporters
2015-01-30,World Bank offers $50m loan for improving tax collection in Sindh,IMF / External Financing; Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1160298/world-bank-offers-50m-loan-for-improving-tax-collection-in-sindh
2015-01-31,$1bn bonds to be launched for overseas Pakistanis,Current Account / Trade,Negative,https://www.dawn.com/news/1160528/1bn-bonds-to-be-launched-for-overseas-pakistanis
2015-01-31,Asian imports of  Iranian crude oil  rise 20pc in 2014,Current Account / Trade; Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1160519/asian-imports-of-iranian-crude-oil-rise-20pc-in-2014
2015-01-31,Firmer trend on cotton market,Textile Sector,Negative,https://www.dawn.com/news/1160505/firmer-trend-on-cotton-market
2015-01-31,Gold rebounds,Monetary Policy / Interest Rates,Negative,https://www.dawn.com/news/1160504/gold-rebounds
2015-01-31,PM announces reduction in POL prices,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1160647/pm-announces-reduction-in-pol-prices
2015-01-31,Private sector makes case for CNG import,Current Account / Trade; Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1160523/private-sector-makes-case-for-cng-import
2015-01-31,Record petrol imports in Jan,Current Account / Trade; Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1160520/record-petrol-imports-in-jan
2015-01-31,SBP unveils Rs20 commemorative coin,Monetary Policy / Interest Rates,No Signal,https://www.dawn.com/news/1160501/sbp-unveils-rs20-commemorative-coin
2015-01-31,Turkish lira hits record low against dollar,Monetary Policy / Interest Rates; Currency / Exchange Rate; Banking Sector,Positive,https://www.dawn.com/news/1160515/turkish-lira-hits-record-low-against-dollar
2015-02-01,Cheaper finance to make exports competitive,Current Account / Trade,Negative,https://www.dawn.com/news/1160772/cheaper-finance-to-make-exports-competitive
2015-02-01,Govt may not meet budget deficit ceiling: Dar,Fiscal Policy / Budget / Taxes; GDP / Economic Growth,No Signal,https://www.dawn.com/news/1160774/govt-may-not-meet-budget-deficit-ceiling-dar
2015-02-01,"ME, North African economies in hot water",Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1160770/me-north-african-economies-in-hot-water
2015-02-01,Russia’s economy to shrink by 3pc in 2015,GDP / Economic Growth,Negative,https://www.dawn.com/news/1160773/russias-economy-to-shrink-by-3pc-in-2015
2015-02-01,Sindh collects Rs157.5m WHT on vehicles,Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1160771/sindh-collects-rs1575m-wht-on-vehicles
2015-02-02,Declining exports of basmati rice,Current Account / Trade,Negative,https://www.dawn.com/news/1160847/declining-exports-of-basmati-rice
2015-02-02,Gas companies in a fix as IPPs shy away from buying LNG,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1160987/gas-companies-in-a-fix-as-ipps-shy-away-from-buying-lng
2015-02-02,The bane of using NBP’s ATM,Banking Sector,No Signal,https://www.dawn.com/news/1161009/the-bane-of-using-nbps-atm
2015-02-02,Weak exports undermine US recovery hopes,Current Account / Trade,No Signal,https://www.dawn.com/news/1160830/weak-exports-undermine-us-recovery-hopes
2015-02-02,Yarn trader held for Rs762m tax fraud,Fiscal Policy / Budget / Taxes,Negative,https://www.dawn.com/news/1161007/yarn-trader-held-for-rs762m-tax-fraud
2015-02-03,Dar meets IMF team in Dubai for $550m tranche,IMF / External Financing,No Signal,https://www.dawn.com/news/1161165/dar-meets-imf-team-in-dubai-for-550m-tranche
2015-02-03,Inflation falls on tumbling oil prices,Inflation / CPI; Oil & Gas / Energy Sector,Positive,https://www.dawn.com/news/1161162/inflation-falls-on-tumbling-oil-prices
2015-02-03,K-electric eyes 7-year tenor for largest corporate sukuk,Debt / External Debt,No Signal,https://www.dawn.com/news/1161272/k-electric-eyes-7-year-tenor-for-largest-corporate-sukuk
2015-02-03,"Notices issued to 240,000 potential taxpayers",Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1161164/notices-issued-to-240000-potential-taxpayers
2015-02-03,Obama unveils $4 trillion budget,Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1161153/obama-unveils-4-trillion-budget
2015-02-04,Delay in tax refunds riles exporters,Fiscal Policy / Budget / Taxes,Negative,https://www.dawn.com/news/1161441/delay-in-tax-refunds-riles-exporters
2015-02-04,EU widens corporate tax breaks probe to Belgium,Fiscal Policy / Budget / Taxes,Negative,https://www.dawn.com/news/1161310/eu-widens-corporate-tax-breaks-probe-to-belgium
2015-02-04,Oil stocks toss index to all-time high,Stock Market (Direct),Positive,https://www.dawn.com/news/1161318/oil-stocks-toss-index-to-all-time-high
2015-02-04,Stock market expected to provide healthy returns this year,Stock Market (Direct); Oil & Gas / Energy Sector,Positive,https://www.dawn.com/news/1161324/stock-market-expected-to-provide-healthy-returns-this-year
2015-02-05,Cement sales rise 6pc,Cement Sector,Positive,https://www.dawn.com/news/1161590/cement-sales-rise-6pc
2015-02-05,New textile policy likely in two weeks,Textile Sector,No Signal,https://www.dawn.com/news/1161592/new-textile-policy-likely-in-two-weeks
2015-02-05,OGDCL profit plunges 29pc to Rs48bn,Fiscal Policy / Budget / Taxes,Negative,https://www.dawn.com/news/1161595/ogdcl-profit-plunges-29pc-to-rs48bn
2015-02-06,Avoiding asset bubbles in low interest environment,Monetary Policy / Interest Rates,No Signal,https://www.dawn.com/news/1161781/avoiding-asset-bubbles-in-low-interest-environment
2015-02-06,No change in fiscal deficit target: IMF,IMF / External Financing; Fiscal Policy / Budget / Taxes,Negative,https://www.dawn.com/news/1161753/no-change-in-fiscal-deficit-target-imf
2015-02-06,SECP approves sukuk rules,Debt / External Debt,Positive,https://www.dawn.com/news/1161784/secp-approves-sukuk-rules
2015-02-07,Aptma seeks 15pc duty on Indian cotton yarn import,Fiscal Policy / Budget / Taxes; Current Account / Trade,No Signal,https://www.dawn.com/news/1162041/aptma-seeks-15pc-duty-on-indian-cotton-yarn-import
2015-02-07,"Cotton prices cross Rs5,000 per maund",Currency / Exchange Rate; Current Account / Trade; Textile Sector,Positive,https://www.dawn.com/news/1162026/cotton-prices-cross-rs5000-per-maund
2015-02-07,Eurozone gives Greece five days to come up with debt plan,IMF / External Financing,Negative,https://www.dawn.com/news/1162034/eurozone-gives-greece-five-days-to-come-up-with-debt-plan
2015-02-07,Govt revises down revenue target to Rs2.691 trillion,IMF / External Financing; Fiscal Policy / Budget / Taxes,Negative,https://www.dawn.com/news/1162043/govt-revises-down-revenue-target-to-rs2691-trillion
2015-02-07,IFC launches tax reforms project for Punjab,Fiscal Policy / Budget / Taxes,Negative,https://www.dawn.com/news/1162042/ifc-launches-tax-reforms-project-for-punjab
2015-02-07,"In oil price war, Gulf producers grab market share in Asia",Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1162018/in-oil-price-war-gulf-producers-grab-market-share-in-asia
2015-02-07,Kohat Cement profit drops to Rs1.37bn,Cement Sector,Negative,https://www.dawn.com/news/1162037/kohat-cement-profit-drops-to-rs137bn
2015-02-07,Record containers handling at Karachi Port,Current Account / Trade,No Signal,https://www.dawn.com/news/1162020/record-containers-handling-at-karachi-port
2015-02-07,Turkey’s lira hits record low against dollar,Currency / Exchange Rate; Global Markets / Fed,Negative,https://www.dawn.com/news/1162032/turkeys-lira-hits-record-low-against-dollar
2015-02-08,Demutualised KSE in search of strategic buyer,Stock Market (Direct),No Signal,https://www.dawn.com/news/1162255/demutualised-kse-in-search-of-strategic-buyer
2015-02-08,EU trade deal boosts Pakistan exports by $1bn: minister,Current Account / Trade,Positive,https://www.dawn.com/news/1162303/eu-trade-deal-boosts-pakistan-exports-by-1bn-minister
2015-02-09,A deal to bring modernity to Greece,IMF / External Financing,No Signal,https://www.dawn.com/news/1162321/a-deal-to-bring-modernity-to-greece
2015-02-09,Conciliation of diverse interests,Current Account / Trade,No Signal,https://www.dawn.com/news/1162349/conciliation-of-diverse-interests
2015-02-09,Exports to EU increased by $1bn under GSP-plus status: minister,Current Account / Trade; Textile Sector,Positive,https://www.dawn.com/news/1162476/exports-to-eu-increased-by-1bn-under-gsp-plus-status-minister
2015-02-09,Making iron ore industry  globally competitive,Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1162323/making-iron-ore-industry-globally-competitive
2015-02-09,Rupee under pressure,Currency / Exchange Rate,Negative,https://www.dawn.com/news/1162342/rupee-under-pressure
2015-02-09,Sindh’s wheat export target,Current Account / Trade,No Signal,https://www.dawn.com/news/1162332/sindhs-wheat-export-target
2015-02-09,The risks and rewards of a US tax on offshore cash,Fiscal Policy / Budget / Taxes,Positive,https://www.dawn.com/news/1162319/the-risks-and-rewards-of-a-us-tax-on-offshore-cash
2015-02-09,Underdeveloped debt market,IMF / External Financing; Banking Sector,No Signal,https://www.dawn.com/news/1162339/underdeveloped-debt-market
2015-02-10,Govt unveils big revenue measures in ‘mini budget’,Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1162586/govt-unveils-big-revenue-measures-in-mini-budget
2015-02-10,Oil’s drop hitting other producers faster than thought,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1162573/oils-drop-hitting-other-producers-faster-than-thought
2015-02-10,Secret HSBC ‘tax dodger’ files cause global shockwaves,Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1162582/secret-hsbc-tax-dodger-files-cause-global-shockwaves
2015-02-10,Textile Policy 2014-19 offers Rs64.15bn cash subsidy,Fiscal Policy / Budget / Taxes; Textile Sector,No Signal,https://www.dawn.com/news/1162588/textile-policy-2014-19-offers-rs6415bn-cash-subsidy
2015-02-10,US firms may not be fleeing due to high tax rate,Fiscal Policy / Budget / Taxes,No Signal,https://www.dawn.com/news/1162570/us-firms-may-not-be-fleeing-due-to-high-tax-rate
2015-02-11,Gold futures dip,Currency / Exchange Rate,No Signal,https://www.dawn.com/news/1162765/gold-futures-dip
2015-02-11,HBL’s divestment structure approved,Banking Sector; Privatization / Divestment,Positive,https://www.dawn.com/news/1162783/hbls-divestment-structure-approved
2015-02-11,Import duty on Indian yarn opposed,Fiscal Policy / Budget / Taxes; Current Account / Trade; Textile Sector,No Signal,https://www.dawn.com/news/1162773/import-duty-on-indian-yarn-opposed
2015-02-11,Partial rebound in oil prices: IEA,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1162781/partial-rebound-in-oil-prices-iea
2015-02-11,Stocks shed another 137 points,Stock Market (Direct),Negative,https://www.dawn.com/news/1162779/stocks-shed-another-137-points
2015-02-11,Textile policy gets mixed response,Current Account / Trade; Textile Sector,No Signal,https://www.dawn.com/news/1162786/textile-policy-gets-mixed-response
2015-02-11,Trick or treat? India’s strong GDP figures mask economic reality,Banking Sector; GDP / Economic Growth,No Signal,https://www.dawn.com/news/1162764/trick-or-treat-indias-strong-gdp-figures-mask-economic-reality
2015-02-12,Aptma warns of Punjab units closure,Textile Sector,Negative,https://www.dawn.com/news/1163103/aptma-warns-of-punjab-units-closure
2015-02-12,Bearish spell sets in on stock market,Stock Market (Direct),Negative,https://www.dawn.com/news/1163000/bearish-spell-sets-in-on-stock-market
2015-02-12,Low oil prices ‘will not spur world growth’,Oil & Gas / Energy Sector,No Signal,https://www.dawn.com/news/1162999/low-oil-prices-will-not-spur-world-growth
2015-02-12,SBP restrained from selling KASB Bank,Monetary Policy / Interest Rates,No Signal,https://www.dawn.com/news/1163044/sbp-restrained-from-selling-kasb-bank
2015-02-12,"Tax revenue shortfall at Rs196bn, Dar warns",Fiscal Policy / Budget / Taxes,Negative,https://www.dawn.com/news/1163151/tax-revenue-shortfall-at-rs196bn-dar-warns
2015-02-13,MCB Bank posts record profit  of Rs36.7bn,Fiscal Policy / Budget / Taxes,Neutral,https://www.dawn.com/news/1163235/mcb-bank-posts-record-profit-of-rs367bn
